[Log | Tara | 2] Tara initialization start
[Log | Tara | 3] icon/icons8-refresh.gif 26861 18612
[Log | Tara | 3] icon/icons8-sand-clock-96.png 1902 0
[Log | Tara | 3] icon/icons8-save-96.png 695 0
[Log | Tara | 3] icon/icons8-screenshot-96.png 1535 0
[Log | Tara | 3] icon/icons8-services-96.png 2929 0
[Log | Tara | 3] icon/icons8-settings-96.png 3621 0
[Log | Tara | 3] icon/icons8-source-code-96.png 2546 0
[Log | Tara | 3] icon/icons8-stop-96.png 228 0
[Log | Tara | 3] icon/icons8-synchronize-96.png 2897 0
[Log | Tara | 3] icon/icons8-synchronize.gif 65737 51701
[Log | Tara | 3] icon/icons8-tree-structure-96.png 681 0
[Log | Tara | 3] icon/icons8-unavailable-96.png 2372 0
[Log | Tara | 3] icon/icons8-upload-to-the-cloud-96.png 1473 0
[Log | Tara | 3] icon/icons8-upload-to-the-cloud.gif 28242 19183
[Log | Tara | 3] image/Default.png 165263 131072
[Log | Tara | 3] image/Grid.png 163868 154938
[Log | Tara | 3] image/sky/back.jpg 740068 720896
[Log | Tara | 3] image/sky/bottom.jpg 280589 265478
[Log | Tara | 3] image/sky/front.jpg 473329 468001
[Log | Tara | 3] image/sky/left.jpg 601885 589824
[Log | Tara | 3] image/sky/right.jpg 538038 524288
[Log | Tara | 3] image/sky/top.jpg 346139 340196
[Log | Tara | 3] lang/en/commom.xml 385 0
[Log | Tara | 3] lang/en/editor.xml 153 0
[Log | Tara | 3] lang/en/error.xml 148 0
[Log | Tara | 3] lang/en/material.xml 63 0
[Log | Tara | 3] lang/en/sceneobject.xml 38 0
[Log | Tara | 3] lang/en/shader.xml 38 0
[Log | Tara | 3] material/DefaultSky.json 1324 0
[Log | Tara | 3] mesh/Cone.mtl 124 0
[Log | Tara | 3] mesh/Cone.obj 4426 0
[Log | Tara | 3] mesh/Cube.mtl 229 0
[Log | Tara | 3] mesh/Cube.obj 951 0
[Log | Tara | 3] mesh/Cylinder.mtl 124 0
[Log | Tara | 3] mesh/Cylinder.obj 7387 0
[Log | Tara | 3] mesh/Monkey.mtl 124 0
[Log | Tara | 3] mesh/Monkey.obj 63088 0
[Log | Tara | 3] mesh/Plane.mtl 124 0
[Log | Tara | 3] mesh/Plane.obj 353 0
[Log | Tara | 3] mesh/Quad.mtl 124 0
[Log | Tara | 3] mesh/Quad.obj 365 0
[Log | Tara | 3] mesh/Sphere.mtl 124 0
[Log | Tara | 3] mesh/Sphere.obj 62254 0
[Log | Tara | 3] shader/base/Light.glsl 2126 0
[Log | Tara | 3] shader/base/Model.glsl 317 0
[Log | Tara | 3] shader/base/Utility.glsl 87 0
[Log | Tara | 3] shader/Blinn.frag 2125 0
[Log | Tara | 3] shader/Blinn.vert 736 0
[Log | Tara | 3] shader/Color.frag 387 0
[Log | Tara | 3] shader/Color.vert 463 0
[Log | Tara | 3] shader/DefaultPostProcess.frag 435 0
[Log | Tara | 3] shader/DefaultPostProcess.vert 227 0
[Log | Tara | 3] shader/DirectionalShadow.frag 82 0
[Log | Tara | 3] shader/DirectionalShadow.vert 403 0
[Log | Tara | 3] shader/Error.frag 221 0
[Log | Tara | 3] shader/Error.vert 231 0
[Log | Tara | 3] shader/GGX.frag 171 0
[Log | Tara | 3] shader/GGX.vert 710 0
[Log | Tara | 3] shader/Lambert.frag 1892 0
[Log | Tara | 3] shader/Lambert.vert 736 0
[Log | Tara | 3] shader/Normal.frag 314 0
[Log | Tara | 3] shader/Normal.vert 465 0
[Log | Tara | 3] shader/Panorama.vert 192 0
[Log | Tara | 3] shader/PointShadow.frag 82 0
[Log | Tara | 3] shader/PointShadow.geom 601 0
[Log | Tara | 3] shader/PointShadow.vert 403 0
[Log | Tara | 3] shader/Reflection.frag 163 0
[Log | Tara | 3] shader/Reflection.vert 514 0
[Log | Tara | 3] shader/Sky.frag 340 0
[Log | Tara | 3] shader/Sky.vert 328 0
[Log | Tara | 3] shader/Texture.frag 510 0
[Log | Tara | 3] shader/Texture.vert 247 0
[Log | Tara | 3] shader/Toon.frag 171 0
[Log | Tara | 3] shader/Toon.vert 514 0
[Log | Tara | 3] template/2D/StandardScene.json 151 0
[Log | Tara | 3] template/3D/FirstPerson.json 150 0
[Log | Tara | 3] template/3D/Platfrom.json 143 0
[Log | Tara | 3] template/3D/StandardScene/Scene.json 363 0
[Log | Tara | 3] template/3D/StandardScene.json 151 0
[Log | Tara | 3] template/3D/Strategy.json 143 0
[Log | Tara | 3] template/3D/ThirdPerson.json 150 0
[Log | Tara | 3] template/3D/Topdown.json 142 0
[Log | Tara | 3] template/Animation/StandardScene.json 158 0
[Log | Tara | 3] template/templates.json 592 0
[Log | Tara | 3] Manifest.json 889 0
[Log | Tara | 2] Zip content: Manifest.json, 889
[Log | Tara | 2] Zip content: fonts/OpenSans-Bold.ttf, 129784
[Log | Tara | 2] Zip content: fonts/OpenSans-BoldItalic.ttf, 135108
[Log | Tara | 2] Zip content: fonts/OpenSans-ExtraBold.ttf, 130180
[Log | Tara | 2] Zip content: fonts/OpenSans-ExtraBoldItalic.ttf, 135688
[Log | Tara | 2] Zip content: fonts/OpenSans-Italic.ttf, 135380
[Log | Tara | 2] Zip content: fonts/OpenSans-Light.ttf, 129756
[Log | Tara | 2] Zip content: fonts/OpenSans-LightItalic.ttf, 135668
[Log | Tara | 2] Zip content: fonts/OpenSans-Medium.ttf, 129948
[Log | Tara | 2] Zip content: fonts/OpenSans-MediumItalic.ttf, 135556
[Log | Tara | 2] Zip content: fonts/OpenSans-Regular.ttf, 129796
[Log | Tara | 2] Zip content: fonts/OpenSans-SemiBold.ttf, 129716
[Log | Tara | 2] Zip content: fonts/OpenSans-SemiBoldItalic.ttf, 135512
[Log | Tara | 2] Zip content: icon/arrow.png, 678
[Log | Tara | 2] Zip content: icon/audio.png, 3176
[Log | Tara | 2] Zip content: icon/audiowave.png, 354
[Log | Tara | 2] Zip content: icon/camera.png, 2534
[Log | Tara | 2] Zip content: icon/close.png, 1055
[Log | Tara | 2] Zip content: icon/colorwheel.png, 3974
[Log | Tara | 2] Zip content: icon/icons8-3d-model-96.png, 1893
[Log | Tara | 2] Zip content: icon/icons8-copy-to-clipboard-96.png, 1378
[Log | Tara | 2] Zip content: icon/icons8-cut-96.png, 3700
[Log | Tara | 2] Zip content: icon/icons8-delete-96.png, 1212
[Log | Tara | 2] Zip content: icon/icons8-document-96.png, 476
[Log | Tara | 2] Zip content: icon/icons8-done-96.png, 982
[Log | Tara | 2] Zip content: icon/icons8-doughnut-chart-96.png, 2588
[Log | Tara | 2] Zip content: icon/icons8-edit-96.png, 1293
[Log | Tara | 2] Zip content: icon/icons8-feed-in-96.png, 1571
[Log | Tara | 2] Zip content: icon/icons8-file-explorer-96.png, 805
[Log | Tara | 2] Zip content: icon/icons8-game-controller-96.png, 3156
[Log | Tara | 2] Zip content: icon/icons8-help-96.png, 2753
[Log | Tara | 2] Zip content: icon/icons8-info-96.png, 2059
[Log | Tara | 2] Zip content: icon/icons8-json-96.png, 1963
[Log | Tara | 2] Zip content: icon/icons8-key-96.png, 1397
[Log | Tara | 2] Zip content: icon/icons8-landscape-96.png, 1813
[Log | Tara | 2] Zip content: icon/icons8-layers-96.png, 1822
[Log | Tara | 2] Zip content: icon/icons8-light-96.png, 2441
[Log | Tara | 2] Zip content: icon/icons8-load-from-file-96.png, 928
[Log | Tara | 2] Zip content: icon/icons8-loading-circle.gif, 18791
[Log | Tara | 2] Zip content: icon/icons8-lock-96.png, 1512
[Log | Tara | 2] Zip content: icon/icons8-menu-96.png, 215
[Log | Tara | 2] Zip content: icon/icons8-mute-96.png, 1147
[Log | Tara | 2] Zip content: icon/icons8-notification-96.png, 2102
[Log | Tara | 2] Zip content: icon/icons8-opened-folder-96.png, 1064
[Log | Tara | 2] Zip content: icon/icons8-paste-96.png, 1282
[Log | Tara | 2] Zip content: icon/icons8-pause-96.png, 236
[Log | Tara | 2] Zip content: icon/icons8-play-96.png, 393
[Log | Tara | 2] Zip content: icon/icons8-project-management-96.png, 4818
[Log | Tara | 2] Zip content: icon/icons8-refresh-96.png, 2261
[Log | Tara | 2] Zip content: icon/icons8-refresh.gif, 26861
[Log | Tara | 2] Zip content: icon/icons8-sand-clock-96.png, 1902
[Log | Tara | 2] Zip content: icon/icons8-save-96.png, 695
[Log | Tara | 2] Zip content: icon/icons8-screenshot-96.png, 1535
[Log | Tara | 2] Zip content: icon/icons8-services-96.png, 2929
[Log | Tara | 2] Zip content: icon/icons8-settings-96.png, 3621
[Log | Tara | 2] Zip content: icon/icons8-source-code-96.png, 2546
[Log | Tara | 2] Zip content: icon/icons8-stop-96.png, 228
[Log | Tara | 2] Zip content: icon/icons8-synchronize-96.png, 2897
[Log | Tara | 2] Zip content: icon/icons8-synchronize.gif, 65737
[Log | Tara | 2] Zip content: icon/icons8-tree-structure-96.png, 681
[Log | Tara | 2] Zip content: icon/icons8-unavailable-96.png, 2372
[Log | Tara | 2] Zip content: icon/icons8-upload-to-the-cloud-96.png, 1473
[Log | Tara | 2] Zip content: icon/icons8-upload-to-the-cloud.gif, 28242
[Log | Tara | 2] Zip content: image/Default.png, 165263
[Log | Tara | 2] Zip content: image/Grid.png, 163868
[Log | Tara | 2] Zip content: image/sky/back.jpg, 740068
[Log | Tara | 2] Zip content: image/sky/bottom.jpg, 280589
[Log | Tara | 2] Zip content: image/sky/front.jpg, 473329
[Log | Tara | 2] Zip content: image/sky/left.jpg, 601885
[Log | Tara | 2] Zip content: image/sky/right.jpg, 538038
[Log | Tara | 2] Zip content: image/sky/top.jpg, 346139
[Log | Tara | 2] Zip content: lang/en/commom.xml, 385
[Log | Tara | 2] Zip content: lang/en/editor.xml, 153
[Log | Tara | 2] Zip content: lang/en/error.xml, 148
[Log | Tara | 2] Zip content: lang/en/material.xml, 63
[Log | Tara | 2] Zip content: lang/en/sceneobject.xml, 38
[Log | Tara | 2] Zip content: lang/en/shader.xml, 38
[Log | Tara | 2] Zip content: material/DefaultSky.json, 1324
[Log | Tara | 2] Zip content: mesh/Cone.mtl, 124
[Log | Tara | 2] Zip content: mesh/Cone.obj, 4426
[Log | Tara | 2] Zip content: mesh/Cube.mtl, 229
[Log | Tara | 2] Zip content: mesh/Cube.obj, 951
[Log | Tara | 2] Zip content: mesh/Cylinder.mtl, 124
[Log | Tara | 2] Zip content: mesh/Cylinder.obj, 7387
[Log | Tara | 2] Zip content: mesh/Monkey.mtl, 124
[Log | Tara | 2] Zip content: mesh/Monkey.obj, 63088
[Log | Tara | 2] Zip content: mesh/Plane.mtl, 124
[Log | Tara | 2] Zip content: mesh/Plane.obj, 353
[Log | Tara | 2] Zip content: mesh/Quad.mtl, 124
[Log | Tara | 2] Zip content: mesh/Quad.obj, 365
[Log | Tara | 2] Zip content: mesh/Sphere.mtl, 124
[Log | Tara | 2] Zip content: mesh/Sphere.obj, 62254
[Log | Tara | 2] Zip content: shader/Blinn.frag, 2125
[Log | Tara | 2] Zip content: shader/Blinn.vert, 736
[Log | Tara | 2] Zip content: shader/Color.frag, 387
[Log | Tara | 2] Zip content: shader/Color.vert, 463
[Log | Tara | 2] Zip content: shader/DefaultPostProcess.frag, 435
[Log | Tara | 2] Zip content: shader/DefaultPostProcess.vert, 227
[Log | Tara | 2] Zip content: shader/DirectionalShadow.frag, 82
[Log | Tara | 2] Zip content: shader/DirectionalShadow.vert, 403
[Log | Tara | 2] Zip content: shader/Error.frag, 221
[Log | Tara | 2] Zip content: shader/Error.vert, 231
[Log | Tara | 2] Zip content: shader/GGX.frag, 171
[Log | Tara | 2] Zip content: shader/GGX.vert, 710
[Log | Tara | 2] Zip content: shader/Lambert.frag, 1892
[Log | Tara | 2] Zip content: shader/Lambert.vert, 736
[Log | Tara | 2] Zip content: shader/Normal.frag, 314
[Log | Tara | 2] Zip content: shader/Normal.vert, 465
[Log | Tara | 2] Zip content: shader/Panorama.vert, 192
[Log | Tara | 2] Zip content: shader/PointShadow.frag, 82
[Log | Tara | 2] Zip content: shader/PointShadow.geom, 601
[Log | Tara | 2] Zip content: shader/PointShadow.vert, 403
[Log | Tara | 2] Zip content: shader/Reflection.frag, 163
[Log | Tara | 2] Zip content: shader/Reflection.vert, 514
[Log | Tara | 2] Zip content: shader/Sky.frag, 340
[Log | Tara | 2] Zip content: shader/Sky.vert, 328
[Log | Tara | 2] Zip content: shader/Texture.frag, 510
[Log | Tara | 2] Zip content: shader/Texture.vert, 247
[Log | Tara | 2] Zip content: shader/Toon.frag, 171
[Log | Tara | 2] Zip content: shader/Toon.vert, 514
[Log | Tara | 2] Zip content: shader/base/Light.glsl, 2126
[Log | Tara | 2] Zip content: shader/base/Model.glsl, 317
[Log | Tara | 2] Zip content: shader/base/Utility.glsl, 87
[Log | Tara | 2] Zip content: template/2D/StandardScene.json, 151
[Log | Tara | 2] Zip content: template/3D/FirstPerson.json, 150
[Log | Tara | 2] Zip content: template/3D/Platfrom.json, 143
[Log | Tara | 2] Zip content: template/3D/StandardScene.json, 151
[Log | Tara | 2] Zip content: template/3D/StandardScene/Scene.json, 363
[Log | Tara | 2] Zip content: template/3D/Strategy.json, 143
[Log | Tara | 2] Zip content: template/3D/ThirdPerson.json, 150
[Log | Tara | 2] Zip content: template/3D/Topdown.json, 142
[Log | Tara | 2] Zip content: template/Animation/StandardScene.json, 158
[Log | Tara | 2] Zip content: template/templates.json, 592
[Log | Tara | 3] Load buildin package version: 1.0.0
[Log | Tara | 4] Add package: buildin
